start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,7.56,0
2023-12-12,2023-12-18,8.66,0
2023-12-19,2023-12-25,8.66,0
2023-12-26,2024-01-01,8.66,0
2024-01-02,2024-01-08,8.66,0
2024-01-09,2024-01-15,8.66,0
2024-01-16,2024-01-22,8.66,0
2024-01-23,2024-01-29,8.66,0
2024-01-30,2024-02-05,8.66,0
2024-02-06,2024-02-12,8.66,0
2024-02-13,2024-02-19,8.66,0
2024-02-20,2024-02-26,8.66,0
2024-02-27,2024-03-04,8.66,0
2024-03-05,2024-03-11,8.66,0
2024-03-12,2024-03-18,8.66,0
2024-03-19,2024-03-25,8.66,0
2024-03-26,2024-04-01,8.66,0
2024-04-02,2024-04-08,8.66,0
2024-04-09,2024-04-15,8.66,0
2024-04-16,2024-04-22,8.66,0
2024-04-23,2024-04-29,7.99,0
2024-04-30,2024-05-06,7.99,0
2024-05-07,2024-05-13,7.99,0
2024-05-14,2024-05-20,7.99,0
2024-05-21,2024-05-27,7.99,0
2024-05-28,2024-06-03,7.99,0
2024-06-04,2024-06-10,7.99,0
2024-06-11,2024-06-17,7.99,0
2024-06-18,2024-06-24,9.59,0
2024-06-25,2024-07-01,9.59,0
2024-07-02,2024-07-08,5.46,1
2024-07-09,2024-07-15,5.46,0
2024-07-16,2024-07-22,5.46,0
2024-07-23,2024-07-29,5.46,0
2024-07-30,2024-08-05,5.46,0
2024-08-06,2024-08-12,5.46,0
2024-08-13,2024-08-19,5.46,0
2024-08-20,2024-08-26,5.46,0
2024-08-27,2024-09-02,5.46,0
2024-09-03,2024-09-09,5.86,1
2024-09-10,2024-09-16,5.86,0
2024-09-17,2024-09-23,5.86,0
2024-09-24,2024-09-30,5.86,0
2024-10-01,2024-10-07,5.86,0
2024-10-08,2024-10-14,5.86,0
2024-10-15,2024-10-21,5.86,0
2024-10-22,2024-10-28,5.86,0
2024-10-29,2024-11-04,7.56,1
2024-11-05,2024-11-11,7.56,0
2024-11-12,2024-11-18,7.56,0
2024-11-19,2024-11-25,7.56,0
2024-11-26,2024-12-02,7.56,0
