start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,11.29,1
2023-12-12,2023-12-18,9.98,0
2023-12-19,2023-12-25,9.56,0
2023-12-26,2024-01-01,9.56,0
2024-01-02,2024-01-08,9.19,0
2024-01-09,2024-01-15,9.37,0
2024-01-16,2024-01-22,9.37,0
2024-01-23,2024-01-29,9.37,0
2024-01-30,2024-02-05,9.37,0
2024-02-06,2024-02-12,9.37,0
2024-02-13,2024-02-19,9.37,0
2024-02-20,2024-02-26,9.37,0
2024-02-27,2024-03-04,9.37,0
2024-03-05,2024-03-11,9.65,1
2024-03-12,2024-03-18,9.65,0
2024-03-19,2024-03-25,9.65,0
2024-03-26,2024-04-01,9.65,1
2024-04-02,2024-04-08,9.79,0
2024-04-09,2024-04-15,9.65,0
2024-04-16,2024-04-22,9.65,0
2024-04-23,2024-04-29,9.65,0
2024-04-30,2024-05-06,9.65,0
2024-05-07,2024-05-13,9.65,0
2024-05-14,2024-05-20,10.82,1
2024-05-21,2024-05-27,10.82,0
2024-05-28,2024-06-03,10.82,0
2024-06-04,2024-06-10,10.82,0
2024-06-11,2024-06-17,10.55,1
2024-06-18,2024-06-24,10.55,0
2024-06-25,2024-07-01,10.55,0
2024-07-02,2024-07-08,10.62,1
2024-07-09,2024-07-15,10.62,0
2024-07-16,2024-07-22,10.62,0
2024-07-23,2024-07-29,10.62,0
2024-07-30,2024-08-05,10.62,0
2024-08-06,2024-08-12,10.89,1
2024-08-13,2024-08-19,10.89,0
2024-08-20,2024-08-26,10.99,0
2024-08-27,2024-09-02,10.99,0
2024-09-03,2024-09-09,10.89,0
2024-09-10,2024-09-16,10.89,0
2024-09-17,2024-09-23,11.2,0
2024-09-24,2024-09-30,11.2,0
2024-10-01,2024-10-07,11.2,0
2024-10-08,2024-10-14,11.2,0
2024-10-15,2024-10-21,11.2,0
2024-10-22,2024-10-28,11.2,0
2024-10-29,2024-11-04,11.2,0
2024-11-05,2024-11-11,10.94,0
2024-11-12,2024-11-18,10.88,2
2024-11-19,2024-11-25,11.17,2
2024-11-26,2024-12-02,11.22,2
