start_date,end_date,price,quantity_sold
2023-12-03,2023-12-09,46.91,1
2023-12-12,2023-12-18,41.24,0
2023-12-19,2023-12-25,41.24,0
2023-12-26,2024-01-01,41.24,0
2024-01-02,2024-01-08,42.5,0
2024-01-09,2024-01-15,41.25,1
2024-01-16,2024-01-22,41.25,0
2024-01-23,2024-01-29,41.25,0
2024-01-30,2024-02-05,41.25,0
2024-02-06,2024-02-12,41.25,0
2024-02-13,2024-02-19,41.25,0
2024-02-20,2024-02-26,41.25,0
2024-02-27,2024-03-04,41.25,0
2024-03-05,2024-03-11,41.25,0
2024-03-12,2024-03-18,41.25,0
2024-03-19,2024-03-25,41.25,0
2024-03-26,2024-04-01,41.25,0
2024-04-02,2024-04-08,41.25,0
2024-04-09,2024-04-15,40.0,0
2024-04-16,2024-04-22,40.0,0
2024-04-23,2024-04-29,40.0,0
2024-04-30,2024-05-06,40.0,0
2024-05-07,2024-05-13,40.0,0
2024-05-14,2024-05-20,40.0,0
2024-05-21,2024-05-27,40.0,0
2024-05-28,2024-06-03,40.0,0
2024-06-04,2024-06-10,40.0,0
2024-06-11,2024-06-17,40.0,1
2024-06-18,2024-06-24,40.0,0
2024-06-25,2024-07-01,40.0,0
2024-07-02,2024-07-08,40.0,0
2024-07-09,2024-07-15,40.0,0
2024-07-16,2024-07-22,43.0,1
2024-07-23,2024-07-29,43.0,0
2024-07-30,2024-08-05,43.0,0
2024-08-06,2024-08-12,43.0,0
2024-08-13,2024-08-19,43.0,0
2024-08-20,2024-08-26,43.89,1
2024-08-27,2024-09-02,43.89,0
2024-09-03,2024-09-09,43.89,0
2024-09-10,2024-09-16,43.89,0
2024-09-17,2024-09-23,43.89,0
2024-09-24,2024-09-30,43.89,0
2024-10-01,2024-10-07,43.89,0
2024-10-08,2024-10-14,43.89,0
2024-10-15,2024-10-21,43.89,0
2024-10-22,2024-10-28,43.89,0
2024-10-29,2024-11-04,43.89,0
2024-11-05,2024-11-11,43.89,0
2024-11-12,2024-11-18,43.89,0
2024-11-19,2024-11-25,43.89,0
2024-11-26,2024-12-02,43.89,0
