start_date,end_date,price,quantity_sold
2023-12-05,2023-12-11,54.4,0
2023-12-12,2023-12-18,59.4,1
2023-12-19,2023-12-25,59.4,0
2023-12-26,2024-01-01,59.4,0
2024-01-02,2024-01-08,59.4,0
2024-01-09,2024-01-15,59.6,1
2024-01-16,2024-01-22,59.6,0
2024-01-23,2024-01-29,59.98,0
2024-01-30,2024-02-05,59.98,0
2024-02-06,2024-02-12,59.98,0
2024-02-13,2024-02-19,59.98,0
2024-02-20,2024-02-26,59.98,0
2024-02-27,2024-03-04,59.98,0
2024-03-05,2024-03-11,59.98,0
2024-03-12,2024-03-18,59.98,0
2024-03-19,2024-03-25,59.98,0
2024-03-26,2024-04-01,59.98,0
2024-04-02,2024-04-08,59.98,0
2024-04-09,2024-04-15,59.98,0
2024-04-16,2024-04-22,59.98,0
2024-04-23,2024-04-29,59.98,0
2024-04-30,2024-05-06,59.98,0
2024-05-07,2024-05-13,59.98,0
2024-05-14,2024-05-20,59.99,1
2024-05-21,2024-05-27,59.99,0
2024-05-28,2024-06-03,59.99,0
2024-06-04,2024-06-10,59.99,0
2024-06-11,2024-06-17,59.98,0
2024-06-18,2024-06-24,59.98,0
2024-06-25,2024-07-01,59.98,0
2024-07-02,2024-07-08,59.98,0
2024-07-09,2024-07-15,59.99,0
2024-07-16,2024-07-22,59.99,0
2024-07-23,2024-07-29,59.99,0
2024-07-30,2024-08-05,59.99,0
2024-08-06,2024-08-12,59.99,0
2024-08-13,2024-08-19,59.99,0
2024-08-20,2024-08-26,59.99,0
2024-08-27,2024-09-02,59.99,0
2024-09-03,2024-09-09,59.99,0
2024-09-10,2024-09-16,59.99,0
2024-09-17,2024-09-23,59.99,0
2024-09-24,2024-09-30,59.99,0
2024-10-01,2024-10-07,59.99,0
2024-10-08,2024-10-14,59.99,0
2024-10-15,2024-10-21,59.99,0
2024-10-22,2024-10-28,59.99,0
2024-10-29,2024-11-04,59.99,0
2024-11-05,2024-11-11,59.99,0
2024-11-12,2024-11-18,59.99,0
2024-11-19,2024-11-25,40.9,1
2024-11-26,2024-12-02,40.9,0
